frame, time,Link1: EndX (m),Link1: EndY (m),Link2: EndX (m),Link2: EndY (m),Joint1: JointValue (degree),Joint2: JointValue (degree),
1,0,0.36138588730708,-0.345543398801474,0.799999985939601,0.200000066452012,-43.7162,94.9171,
2,0.01,0.361394762837735,-0.345534116106438,0.799995156458821,0.200020367621291,-43.7147282969378,94.9170676531645,
3,0.02,0.361456842848604,-0.345469174830287,0.799961358558224,0.200162376403942,-43.7044333456634,94.9168413785142,
4,0.03,0.361625065052317,-0.345293081781126,0.799869615460622,0.200547292355327,-43.6765267192942,94.916228013579,
5,0.04,0.36195176366803,-0.344950606286759,0.799690780641606,0.201295266026257,-43.6222894961831,94.9150359235571,
6,0.05,0.362488252317039,-0.344386798428945,0.799395199946168,0.202524820677285,-43.5331066695195,94.9130757576103,
7,0.06,0.36328433061044,-0.343546932940646,0.798952206831782,0.204352238101604,-43.4005011468243,94.9101611961452,
8,0.07,0.364387719544446,-0.342376386226034,0.798329465121335,0.206890908855042,-43.2161672051621,94.9061096861314,
9,0.08,0.365843431322137,-0.340820456778118,0.79749217781093,0.210250645398955,-42.9720032700346,94.9007431615551,
10,0.09,0.36769307949253,-0.338824142134678,0.796402184495857,0.214536954516728,-42.6601438885939,94.8938887461641,
11,0.1,0.369974135434501,-0.33633188833278,0.795016973810059,0.219850263075956,-42.2729907709916,94.8853794357317,
12,0.11,0.372719137328091,-0.333287330496381,0.793288640890557,0.22628508901089,-41.8032427773576,94.8750547571456,
13,0.12,0.375954857974822,-0.329633045620629,0.791162823258917,0.233929147544102,-41.2439247320635,94.8627614017225,
14,0.13,0.37970143828163,-0.325310340700786,0.788577651641274,0.242862381408151,-40.5884149515539,94.8483538302469,
15,0.14,0.383971494034587,-0.320259100993004,0.785462755106382,0.253155903417397,-39.8304713771068,94.8316948473484,
16,0.15,0.388769204868949,-0.314417724286601,0.781738362453116,0.264870840409432,-38.964256209387,94.8126561429489,
17,0.16,0.394089396176547,-0.307723167508078,0.77731454396502,0.278057069528393,-37.9843589475736,94.7911187986436,
18,0.17,0.399916627130796,-0.300111131656804,0.772090639375467,0.292751841221165,-36.8858177421347,94.7669737570183,
19,0.18,0.406224301059952,-0.291516409878335,0.765954919014848,0.308978288271273,-35.6641389769804,94.7401222520484,
20,0.19,0.412973818014347,-0.281873421298733,0.758784525455245,0.326743826747381,-34.3153150037129,94.7104761988839,
21,0.2,0.420113793446867,-0.271116949960129,0.750445742293603,0.346038462858325,-32.8358399579838,94.6779585414798,
22,0.21,0.427579371287256,-0.259183103711632,0.740794634743198,0.366833029257978,-31.2227235955388,94.642503556701,
23,0.22,0.435291664102722,-0.246010502138999,0.729678103124738,0.389077385101765,-29.4735030933459,94.6040571137016,
24,0.23,0.443157357198067,-0.23154169551341,0.716935384838239,0.412698625780948,-27.5862527692323,94.5625768875548,
25,0.24,0.45106851705823,-0.21572480830653,0.702400032642488,0.437599360291356,-25.559591681673,94.5180325262898,
26,0.25,0.458902647068223,-0.19851539112567,0.685902386801677,0.463656126051673,-23.3926890797351,94.4704057706772,
27,0.26,0.466523034524455,-0.179878454124151,0.667272545691567,0.490718021982133,-21.085267681673,94.4196905262898,
28,0.27,0.473779432136617,-0.159790643293981,0.64634382372501,0.518605650000527,-18.6376047692323,94.3658928875548,
29,0.28,0.480509114094313,-0.138242508919284,0.622956667056888,0.547110461932214,-16.0505310933458,94.3090311137016,
30,0.29,0.486538340980484,-0.11524080334655,0.596962976760228,0.575994612277469,-13.3254275955388,94.249135556701,
31,0.3,0.491684259095686,-0.0908107337131837,0.568230766558228,0.604991416466943,-10.4642199579838,94.1862485414798,
32,0.31,0.495757247992505,-0.0649980850710077,0.536649058529438,0.633806508381992,-7.46937100371288,94.1204241988839,
33,0.32,0.49856371526358,-0.0378711212215371,0.502132896503162,0.66211977939452,-4.34387097698036,94.0517282520484,
34,0.33,0.499909320144137,-0.00952216535390033,0.464628334385722,0.689588163595626,-1.09122574213468,93.9802377570183,
35,0.34,0.499602587776812,0.0199312389658204,0.424117236846437,0.71584931014584,2.28455705242637,93.9060407986436,
36,0.35,0.497458854778726,0.0503456830546441,0.380621714199739,0.740526154077496,5.778983790613,93.8292361429489,
37,0.36,0.493304465014727,0.0815518534218172,0.334208003521665,0.763232362121007,9.38709262289323,93.7499328473484,
38,0.37,0.486981113382245,0.113355172837364,0.284989605514334,0.783578591369757,13.1034730484461,93.6682498302469,
39,0.38,0.478350216264507,0.145537179441199,0.233129492636899,0.801179457443124,16.9222872679365,93.5843154017225,
40,0.39,0.467297171493942,0.177857677691353,0.178841219455053,0.815661067250657,20.8372932226424,93.4982667571456,
41,0.4,0.453735359548541,0.210057667071108,0.122388791441389,0.826668931810581,24.8418692290084,93.4102494357317,
42,0.41,0.437609732515311,0.241863023233974,0.0640851834182217,0.833876039325525,28.9290401114062,93.3204167461641,
43,0.42,0.418899839093041,0.272988873047648,0.00428944264991554,0.836990840385772,33.0915047299654,93.2289291615551,
44,0.43,0.39762214322327,0.303144571481221,-0.0565976372382506,0.835764878113899,37.3216647948379,93.1359536861314,
45,0.44,0.3738315110524,0.332039156341958,-0.118139228963187,0.829999788288416,41.6116548531757,93.0416631961452,
46,0.45,0.347621765560678,0.359387128468003,-0.179869469486375,0.819553399448977,45.9533733304805,92.9462357576103,
47,0.46,0.319125239542951,0.384914382021059,-0.241301583443999,0.804344681447261,50.3385145038169,92.8498539235571,
48,0.47,0.288511294379207,0.408364093690464,-0.301936918139986,0.784357322795577,54.7586012807059,92.752704013579,
